"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLHL10",1.73735738678823,1.49819916494533,1.65669756390268,0.904328706451423,0.365821129412241,NA
"SEPTIN4-AS1",1.5350876432888,-0.407020611644454,1.5110388268806,-0.269364760457354,0.787649001349633,NA
"DDX59-AS1",1.88166192343487,-0.364844487830675,1.41124760331918,-0.258526205445862,0.79600082712108,NA
"CDHR2",0.487651298079163,-0.882212172218579,2.86284745082145,-0.308158987641986,0.75796135797716,NA
"LOC105378330",0,NA,NA,NA,NA,NA
"LINC02671",0,NA,NA,NA,NA,NA
"LOC101928961",2.53519347327417,1.39737714818322,1.50064353502717,0.931185265232172,0.351757738518228,NA
"LRRTM3",0.33698716832424,1.85629066648974,4.03420714992267,0.460137667081702,0.64541740887172,NA
"USP17L29",0,NA,NA,NA,NA,NA
"MIR7151",0.16849358416212,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"BEX5",1.65203376274444,-0.0711872457454726,1.72079891621106,-0.0413687183754255,0.967001950559757,NA
"TIE1",0.317267003228222,1.78062835157827,4.04095506361726,0.440645422566105,0.659469713673225,NA
"CD300E",0,NA,NA,NA,NA,NA
"CHRND",0.175492506763753,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"INHBC",0.14366520715329,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"KCNH7-AS1",0,NA,NA,NA,NA,NA
"NMS",0,NA,NA,NA,NA,NA
"CASC9",0,NA,NA,NA,NA,NA
"CCR5AS",0.158633501614111,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"DIAPH2-AS1",0.534515058678023,-1.07046663008802,3.31462655692928,-0.322952408575316,0.746731284766741,NA
"DEFB130A",0,NA,NA,NA,NA,NA
"ELOA3D",0,NA,NA,NA,NA,NA
"DSCAM",0.464788962767232,0.836912674657547,2.9037014289674,0.288222703032924,0.773176271320475,NA
"LY9",0.175492506763753,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"CDSN",0.663143804842916,-1.50120593101767,2.61233138970983,-0.574661368358945,0.565520339224728,NA
"DAZ2",0,NA,NA,NA,NA,NA
"SPATA31D1",0,NA,NA,NA,NA,NA
"GDF6",3.98647475829197,-0.720323615042439,1.27948645568897,-0.562978694959738,0.57344939155742,NA
"OR7A5",0,NA,NA,NA,NA,NA
"DGKG",0.481647967916874,-0.882088596051398,2.87245827738196,-0.307084911553653,0.758778742053608,NA
"LINC02622",0,NA,NA,NA,NA,NA
"FAM133A",0,NA,NA,NA,NA,NA
"XKRY",0,NA,NA,NA,NA,NA
"CHRM2",0.158633501614111,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"PLCB2",2.42031466643652,-1.44509109627356,1.36922090891861,-1.05541121002518,0.291237298170783,NA
"CDH23-AS1",0,NA,NA,NA,NA,NA
"MIR7152",0,NA,NA,NA,NA,NA
"BTK",1.23339390007464,-1.50299245446889,2.01760133174744,-0.744940256937256,0.456307837166122,NA
"TBX22",0,NA,NA,NA,NA,NA
"LYPD2",0,NA,NA,NA,NA,NA
"MIR4676",1.78638482880209,0.874371409628481,1.75611630570605,0.497900626961572,0.618554085386928,NA
"PRAMEF26",0,NA,NA,NA,NA,NA
"ABCG8",0,NA,NA,NA,NA,NA
"JCAD",1.34867129501012,1.49978426364992,1.73938476323746,0.862249857161231,0.388550039221269,NA
"RBFOX3",0,NA,NA,NA,NA,NA
"AGBL1",0,NA,NA,NA,NA,NA
"SV2B",0,NA,NA,NA,NA,NA
"CCR6",0.16849358416212,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"LINC00649",2.50653348706141,-0.624744837670907,1.17903313980743,-0.529878946212612,0.596195864363311,NA
"SHCBP1L",0,NA,NA,NA,NA,NA
"INS",0,NA,NA,NA,NA,NA
"CT45A8",0,NA,NA,NA,NA,NA
"BSPRY",6.34018554238613,0.819017892134603,0.863247988901935,0.94876316268794,0.342741081260749,NA
"NEUROD1",0,NA,NA,NA,NA,NA
"MYCBP",0.850462435851577,0.521161168739588,2.46300004365342,0.211596085871983,0.832422163214515,NA
"CD163",0,NA,NA,NA,NA,NA
"TWIST2",0.945441338244763,1.09277052488139,2.08326196823387,0.524547820458611,0.59989756832298,NA
"BSND",0,NA,NA,NA,NA,NA
"LOC102723439",0,NA,NA,NA,NA,NA
"SNORD172",1.71658348021485,-0.663901016798403,1.43809767544458,-0.461652242496784,0.644330724023551,NA
"ZNF503-AS1",0.162490253999831,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"CNFN",2.66846976006552,-0.043905938529792,1.16106630905656,-0.0378151860813776,0.969835036290581,NA
